id_libro,titulo,autor,anio_publicacion,editorial,generos
L0001,El sombra del norte,Albano Llopis Hierro,1986,Anagrama,historica;biografia
L0002,El memoria imposible,Buenaventura de Bonet,1959,Alfaguara,fantasia
L0003,El isla de arena,Ileana Antón-Andrés,1958,Salamandra,biografia;poesia
L0004,El codigo de arena,César Guerrero Vazquez,1990,Alfaguara,poesia;ensayo
L0005,La viaje de medianoche,Alba Mar Flor Rivas,1998,Alfaguara,poesia
L0006,El mapa de papel,Jacobo del Agudo,1988,Alfaguara,biografia;historica;poesia
L0007,El isla del norte,Paco Rocamora Nieto,2001,Salamandra,historica;novela negra
L0008,El jardin de cristal,Casemiro Garrido-Navarro,1984,Alfaguara,romantica;juvenil;ensayo
L0009,El mapa de papel,Arturo Pinto Caballero,1981,Paginas de Espuma,historica;ciencia ficcion
L0010,El viaje de los suenos,Soraya Núñez Lamas,2003,Planeta,ensayo;novela negra
L0011,El sombra de papel,Pánfilo Segovia Casanovas,2006,Planeta,fantasia
L0012,La silencio de los suenos,Ani Marcos Pardo,2005,Paginas de Espuma,ciencia ficcion;romantica;terror
L0013,El espejo prohibido,Celia Baños-Arroyo,2023,Planeta,terror;poesia;ensayo
L0014,El viaje prohibido,Rolando del Bernal,2018,Alfaguara,historica
L0015,El puente sin nombre,Toribio de Pinto,2009,Salamandra,poesia
L0016,La memoria de los suenos,Javi Patiño-Cánovas,2022,Planeta,historica
L0017,La puente de papel,Felicidad Gallego Lasa,1969,Planeta,ciencia ficcion;juvenil;novela negra
L0018,La isla sin nombre,Marco Donoso Hierro,2019,Alfaguara,biografia;fantasia
L0019,El mapa sin nombre,Jerónimo Pino Lerma,2024,Salamandra,terror
L0020,La codigo del olvido,Constanza del Barba,1969,Planeta,fantasia;novela negra
L0021,El memoria de cristal,Segismundo de Moles,1965,Paginas de Espuma,historica;biografia;ciencia ficcion
L0022,El puente de los suenos,Edelmira Batalla Galván,2025,Anagrama,biografia;poesia
L0023,El isla de medianoche,Valentina Miranda-Garcia,1994,Impedimenta,juvenil;biografia
L0024,La casa de medianoche,Gertrudis Segarra Clavero,1983,Alfaguara,novela negra;biografia
L0025,El memoria de medianoche,Buenaventura Huerta-Jódar,1955,Alfaguara,fantasia
L0026,El sombra de papel,Inés Pujol-Paredes,1964,Salamandra,romantica;juvenil
L0027,El isla sin nombre,Bruno del Bou,2015,Anagrama,poesia;fantasia;historica
L0028,El puente imposible,Tito Canals Coronado,2000,Impedimenta,juvenil;novela negra;historica
L0029,El invierno de papel,Ruy Roca Bartolomé,1968,Anagrama,fantasia;biografia
L0030,La viaje imposible,Francisca Solé Ángel,1978,Planeta,fantasia;historica;juvenil
L0031,El sombra prohibido,Leonel Alberdi-Carbó,1956,Alfaguara,ciencia ficcion;poesia
L0032,La codigo de medianoche,Pili del Nieto,2006,Alfaguara,poesia;novela negra
L0033,La jardin de los suenos,Eugenio Royo Cruz,1991,Impedimenta,ciencia ficcion;fantasia;romantica
L0034,El sombra de arena,Abril Lago Valle,2024,Alfaguara,novela negra;terror
L0035,La isla prohibido,José Luis Camino Martín,1975,Alfaguara,ciencia ficcion
L0036,El memoria de cristal,María Fernanda Flor,1985,Impedimenta,terror
