id_prestamo,fecha,id_libro,generos,formato,perfil_socio,sala,dias_prestamo,renovaciones,dias_retraso,comentario
4181,2026-04-13,L0044,novela negra;historica,Fisico,Adulto,Barrio Norte,30.0,0,15.0,
319,24-01-26,L0005,poesia,Fisico,Infantil,Barrio Norte,30.0,0,0.0,paginas subrayadas a lapiz
1316,15/02/2026,L0033,ciencia ficcion;fantasia;romantica,Fisico,Adulto,Barrio Sur,14.0,0,0.0,
1157,2026-02-11,L0151,historica;novela negra,Ebook,Infantil,Central,7.0,0,0.0,
34,2026-01-16,L0004,poesia;ensayo,Fisico,Senior,Barrio Sur,14.0,2,0.0,Paginas subrayadas a lapiz
8332,20/06/2026,L0020,fantasia;novela negra,Fisico,Adulto,Barrio Norte,30.0,1,0.0,
9247,04-07-26,L0011,fantasia,Fisico,Infantil,Barrio Norte,7.0,0,0.0,
7316,04-06-26,L0011,fantasia,Fisico,Adulto,Central,30.0,0,0.0,
4709,2026-04-23,L0057,romantica,Fisico,Senior,Barrio Sur,30.0,1,0.0,
1419,2026-02-17,L0111,historica;poesia,Fisico,Adulto,Barrio Sur,14.0,0,0.0,
1579,21/02/2026,L0119,novela negra;romantica,Fisico,Adulto,Central,7.0,0,7.0,
7604,2026-06-08,L0006,biografia;historica;poesia,Fisico,Adulto,Barrio Sur,14.0,1,2.0,
3353,2026-03-29,L0002,FANTASIA,Ebook,Adulto,Barrio Sur,30.0,0,0.0,
252,22/01/2026,L0139,poesia;biografia,Fisico,Senior,Barrio Sur,14.0,1,5.0,
6044,15-05-26,L0100,fantasia,Ebook,Adulto,Barrio Norte,14.0,2,0.0,
4000,2026-04-10,L0010,ensayo;novela negra,Fisico,Infantil,Barrio Sur,30.0,0,0.0,
5218,2026-05-01,L0011,fantasia,Fisico,Senior,Barrio Norte,14.0,1,0.0,
7347,2026-06-05,L0001,historica;biografia,Audiolibro,,Barrio Sur,14.0,0,0.0,
389,2026-01-25,L0200,  ciencia ficcion;fantasia;terror ,Fisico,Infantil,Barrio Norte,7.0,2,0.0,
